Car Number,inter_arrival_time,Clock Time
1,40.09,0
2,10.15,40.09
3,15.41,50.24
4,10.36,65.65
5,9.49,76.01
6,16.56,85.5
7,2.07,102.06
8,1.85,104.13
9,3.73,105.98
10,6.61,109.71
11,13.52,116.32
12,17.68,129.84
13,44.55,147.52
14,32.71,192.07
15,3.96,224.78
16,1.88,228.74
17,9.83,230.62
18,19.98,240.45
19,15.18,260.43
20,5.45,275.61
21,4.83,281.06
22,2.91,285.89
23,14.54,288.8
24,8.64,303.34
25,7.35,311.98
26,2.01,319.33
27,3.82,321.34
28,16.57,325.16
29,8.61,341.73
30,6.39,350.34
31,18.68,356.73
32,6.02,375.41
33,2.37,381.43
34,7.46,383.8
35,7.61,391.26
36,10.67,398.87
37,2.64,409.54
38,7.5,412.18
39,8.93,419.68
40,2.84,428.61
41,2.62,431.45
42,7.11,434.07
43,13.01,441.18
44,4.46,454.19
45,10.81,458.65
46,6.24,469.46
47,2.23,475.7
48,20.17,477.93
49,23.71,498.1
50,4.08,521.81
51,10.86,525.89
52,7.28,536.75
53,39.45,544.03
54,4.03,583.48
55,33.31,587.51
56,11.66,620.82
57,16.89,632.48
58,3.65,649.37
59,11.53,653.02
60,4.28,664.55
61,2.56,668.83
62,44.08,671.39
63,29.2,715.47
64,13.82,744.67
65,2.88,758.49
66,4.22,761.37
67,12.69,765.59
68,19.6,778.28
69,3.16,797.88
70,13.77,801.04
71,55.05,814.81
72,3.86,869.86
73,3.32,873.72
74,3.58,877.04
75,5.52,880.62
76,47.63,886.14
77,34.02,933.77
78,10.27,967.79
79,7.95,978.06
80,6.89,986.01
81,7.95,992.9
82,10.27,1000.85
83,6.89,1011.12
84,18.92,1018.01
85,23.55,1036.93
86,53.67,1060.48
87,7.23,1114.15
88,11.11,1121.38
89,28.67,1132.49
90,18.9,1161.16
91,6.45,1180.06
92,17.97,1186.51
93,80.23,1204.48
94,6.11,1284.71
95,44.55,1290.82
96,38.61,1335.37
97,7.51,1373.98
98,5.63,1381.49
99,26.06,1387.12
100,13.36,1413.18
101,5.66,1426.54
102,6.97,1432.2
103,1.58,1439.17
104,3.77,1440.75
105,4.37,1444.52
106,2.2,1448.89
107,5.31,1451.09
108,41.13,1456.4
109,8.93,1497.53
110,4.31,1506.46
111,8.76,1510.77
112,16.66,1519.53
113,5.48,1536.19
114,13.88,1541.67
115,8.22,1555.55
116,7.09,1563.77
117,8.1,1570.86
118,24.77,1578.96
119,5.94,1603.73
120,4.71,1609.67
121,2.3,1614.38
122,4.89,1616.68
123,4.21,1621.57
124,9.83,1625.78
125,8.82,1635.61
126,5.93,1644.43
127,2.5,1650.36
128,13.58,1652.86
129,10.97,1666.44
130,3.64,1677.41
131,46.28,1681.05
132,8.27,1727.33
133,5.18,1735.6
134,14.84,1740.78
135,13.3,1755.62
