Interarrival Time,Max Queue Length,Min Queue Length,Service Duration,Sojurn Time,Vehicle,Wait Time
11.073,0.0,0.0,18.849,18.849,1.0,0.0
6.502,0.0,0.0,47.665,47.665,2.0,0.0
10.036,0.0,0.0,199.985,202.296,3.0,2.311
9.717,0.0,0.0,123.025,150.937,4.0,27.912
9.11,1.0,0.0,147.665,147.665,5.0,0.0
10.598,1.0,0.0,93.565,93.565,6.0,0.0
9.563,0.0,0.0,41.27,162.936,7.0,121.666
8.695,1.0,0.0,101.912,177.219,8.0,75.307
6.555,1.0,0.0,44.709,44.709,9.0,0.0
12.47,1.0,0.0,71.34,71.34,10.0,0.0
8.45,1.0,0.0,76.11,99.899,11.0,23.789
11.267,1.0,0.0,150.688,150.688,12.0,0.0
7.1,1.0,0.0,1072.477,1072.477,13.0,0.0
7.599,1.0,0.0,137.42,174.344,14.0,36.924
7.378,1.0,0.0,123.701,252.312,15.0,128.611
8.771,1.0,0.0,157.06,157.06,16.0,0.0
9.395,1.0,0.0,85.895,125.719,17.0,39.824
9.014,1.0,0.0,156.181,156.181,18.0,0.0
8.058,1.0,0.0,60.888,92.205,19.0,31.317
9.215,1.0,0.0,342.077,463.455,20.0,121.378
9.664,1.0,0.0,46.836,86.141,21.0,39.305
8.389,1.0,0.0,8.505,62.399,22.0,53.894
8.595,1.0,0.0,481.032,537.374,23.0,56.342
7.715,1.0,0.0,32.182,32.182,24.0,0.0
7.669,1.0,0.0,557.156,557.156,25.0,0.0
10.623,1.0,0.0,18.866,18.866,26.0,0.0
9.267,1.0,0.0,295.368,304.967,27.0,9.599
9.001,1.0,0.0,164.961,164.961,28.0,0.0
8.969,1.0,0.0,293.045,308.958,29.0,15.913
7.526,1.0,0.0,363.086,363.086,30.0,0.0
9.127,1.0,0.0,30.75,301.094,31.0,270.344
9.799,1.0,0.0,365.109,365.109,32.0,0.0
9.427,1.0,0.0,241.086,575.819,33.0,334.733
9.556,1.0,0.0,77.312,77.312,34.0,0.0
7.11,1.0,0.0,68.986,139.188,35.0,70.202
9.289,1.0,0.0,182.642,248.775,36.0,66.133
8.937,1.0,0.0,262.827,262.827,37.0,0.0
7.821,1.0,0.0,88.292,343.298,38.0,255.006
10.14,1.0,0.0,100.215,167.475,39.0,67.26
10.094,1.0,0.0,105.747,105.747,40.0,0.0
10.623,1.0,0.0,306.462,306.462,41.0,0.0
7.237,1.0,0.0,79.997,167.884,42.0,87.887
8.499,1.0,0.0,5.979,72.527,43.0,66.548
8.18,1.0,0.0,48.942,226.186,44.0,177.244
8.185,1.0,0.0,24.706,24.706,45.0,0.0
10.547,1.0,0.0,351.082,351.082,46.0,0.0
8.505,1.0,0.0,333.181,428.786,47.0,95.605
8.649,1.0,0.0,32.048,32.048,48.0,0.0
8.89,1.0,0.0,28.468,51.626,49.0,23.158
9.321,1.0,1.0,6.279,127.775,50.0,121.496
9.049,2.0,0.0,337.633,338.834,51.0,1.201
9.835,2.0,0.0,80.695,358.479,52.0,277.784
12.007,2.0,0.0,206.291,272.508,53.0,66.217
9.359,2.0,0.0,187.543,189.598,54.0,2.055
10.215,2.0,0.0,266.064,445.447,55.0,179.383
8.926,2.0,1.0,59.571,204.279,56.0,144.708
7.344,2.0,1.0,259.328,540.476,57.0,281.148
6.654,2.0,0.0,69.457,327.902,58.0,258.445
9.151,2.0,1.0,550.834,640.383,59.0,89.549
7.919,2.0,1.0,147.374,253.016,60.0,105.642
9.177,2.0,0.0,250.73,379.543,61.0,128.813
9.113,2.0,1.0,50.287,69.313,62.0,19.026
8.051,2.0,1.0,244.853,529.344,63.0,284.491
8.184,2.0,1.0,50.717,56.018,64.0,5.301
8.79,2.0,0.0,82.99,127.278,65.0,44.288
9.515,2.0,1.0,337.588,375.301,66.0,37.713
11.44,2.0,1.0,356.068,425.086,68.0,69.018
7.441,2.0,1.0,317.836,398.671,70.0,80.835
9.744,2.0,1.0,226.534,291.189,72.0,64.655
8.146,2.0,1.0,199.295,416.37,73.0,217.075
9.264,2.0,1.0,188.852,267.091,75.0,78.239
8.322,2.0,0.0,188.511,270.746,76.0,82.235
7.994,2.0,1.0,208.342,436.605,78.0,228.263
11.999,2.0,1.0,39.199,345.353,80.0,306.154
9.084,2.0,1.0,77.627,286.013,81.0,208.386
9.375,2.0,2.0,13.739,340.633,82.0,326.894
7.415,3.0,1.0,241.477,426.52,84.0,185.043
7.26,3.0,1.0,62.457,244.602,86.0,182.145
10.015,3.0,1.0,148.294,218.122,87.0,69.828
8.551,3.0,2.0,76.849,343.411,88.0,266.562
7.876,3.0,2.0,14.863,213.457,97.0,198.594
